Object Tracking Data File Thu, Nov 20, 2025 4:13 PM
X (pixels)  	Y (pixels)  
419.04	102.99
419.20	102.73
418.85	103.29
427.49	46.79
419.17	92.46
418.75	103.32
418.39	102.10
418.08	99.88
417.91	102.52
417.83	102.11
417.75	100.67
417.73	101.07
418.73	102.04
419.32	103.66
418.95	103.05
417.60	101.57
427.75	45.03
417.48	92.76
418.92	102.18
419.47	101.44
420.39	102.76
418.04	103.23
419.12	100.30
418.11	103.61
418.27	102.94
418.76	102.92
418.47	103.75
418.98	103.96
419.21	103.04
419.85	102.22
420.25	102.66
419.18	102.02
419.39	101.85
418.74	101.80
419.64	102.38
419.23	102.16
418.91	102.61
420.15	103.30
420.33	102.07
418.43	101.79
418.15	103.03
418.23	102.40
417.57	103.12
417.06	103.06
419.08	101.57
418.56	101.34
418.23	101.63
418.51	101.19
419.17	101.38
417.58	102.07
417.68	102.18
417.52	102.64
418.28	102.67
418.47	102.63
419.38	102.34
418.73	100.68
418.42	101.56
417.99	102.04
418.98	103.02
418.88	102.42
418.21	101.98
418.05	101.53
419.33	101.90
418.95	100.98
418.55	101.36
417.85	101.15
418.85	101.77
418.65	102.29
420.70	102.02
420.37	102.83
420.03	101.41
418.05	101.59
420.15	102.23
420.59	101.90
420.28	102.05
419.07	101.98
419.33	102.29
420.20	102.16
418.49	101.00
418.80	100.75
418.40	101.51
419.81	102.32
419.72	101.17
419.50	101.29
418.94	102.10
419.09	102.48
419.02	101.14
419.86	102.43
418.89	101.99
419.41	100.65
419.09	100.73
418.42	101.63
419.84	101.08
418.94	101.72
418.46	101.86
419.42	101.89
420.79	102.14
420.59	102.07
418.81	101.51
419.78	100.87
420.49	101.24
420.58	101.21
421.09	101.23
421.02	99.95
421.62	99.40
422.49	98.42
422.93	97.97
423.82	97.83
424.56	97.87
424.35	97.22
423.52	96.21
423.09	95.30
421.05	95.22
417.11	95.66
414.04	96.52
411.94	97.33
410.35	97.34
408.47	97.15
406.34	97.31
405.13	97.24
