Object Tracking Data File Thu, Nov 20, 2025 3:53 PM
X  	Y  
1056.48	540.65
1063.80	551.14
1039.53	501.15
1060.73	548.43
1059.41	559.39
1059.94	557.14
1062.77	565.61
1066.26	566.98
1060.19	568.47
1063.95	563.92
1069.77	564.74
1072.30	565.80
1069.06	567.14
1068.30	565.37
1067.59	564.55
1066.52	560.98
1067.99	566.18
1065.09	569.10
1063.01	567.41
1065.46	569.22
1064.35	574.37
1064.94	585.23
1064.41	596.23
1060.02	589.65
1065.35	595.29
1056.19	602.29
1057.40	605.25
1054.23	604.39
1052.59	613.54
1049.51	604.72
1046.38	610.56
1041.40	614.22
1041.81	612.92
1032.10	606.47
1036.20	609.48
1035.49	611.70
1033.73	609.24
1035.56	612.61
1032.10	614.43
1024.60	610.05
1029.02	609.66
1028.99	608.07
1028.25	605.61
1029.27	603.48
1022.93	600.35
1020.61	601.88
1022.08	602.15
1025.55	600.50
1020.52	599.90
1025.65	606.20
1023.11	606.77
1017.16	603.63
1011.53	607.32
1012.92	611.96
1018.27	613.19
1019.15	609.08
1024.58	609.67
1023.70	616.97
1027.59	614.14
1029.24	615.30
1031.55	618.50
1030.31	621.53
1036.39	624.85
1038.58	622.24
1042.53	626.62
1042.60	628.18
1047.88	621.97
1049.84	624.32
1048.25	627.95
1046.43	621.35
1046.88	624.86
1058.67	570.89
1053.87	622.45
1055.95	635.45
1054.17	634.44
1052.47	636.16
1053.16	636.23
1048.33	632.02
1049.31	633.89
1049.66	635.55
1050.53	637.04
1045.63	635.14
1041.62	635.28
1043.00	641.65
1042.72	636.54
1042.63	642.33
1041.87	644.02
1034.52	645.22
1027.50	646.73
1022.59	646.84
1033.09	651.28
1032.68	651.29
1033.61	649.03
1034.81	645.05
1037.37	644.34
1038.21	641.26
1037.24	645.26
1036.43	645.64
1041.76	580.19
1037.08	630.57
1044.51	640.94
1045.93	646.09
1051.81	649.33
1055.19	642.89
1057.01	649.56
1059.36	651.88
1057.81	657.07
1062.43	660.64
1055.01	657.28
1046.43	653.12
1043.62	647.92
1045.43	651.06
1039.47	653.55
1038.15	655.09
1020.78	609.12
1030.36	654.05
1023.89	667.86
1027.52	665.32
1024.64	666.21
1020.29	665.08
