Object Tracking Data File Thu, Nov 20, 2025 4:03 PM
X  	Y  
202.32	466.48
201.51	466.86
202.18	466.48
199.74	467.40
201.88	468.51
200.69	466.87
201.82	468.98
200.26	468.80
201.67	467.58
201.71	467.88
202.42	469.10
202.08	468.57
199.92	468.20
203.46	469.53
201.45	468.87
201.55	469.12
202.71	470.12
200.92	468.93
199.45	468.52
200.56	467.83
202.75	468.56
201.96	468.53
203.13	470.02
203.67	471.50
202.56	471.45
201.77	471.14
201.18	471.33
202.35	470.88
201.92	471.63
201.46	471.57
201.47	471.60
202.84	471.82
202.67	472.37
202.15	472.35
202.65	472.25
202.37	472.02
202.23	472.11
201.63	473.07
202.05	473.55
202.00	473.51
201.79	473.42
202.84	472.82
202.24	472.70
201.95	473.17
202.03	473.28
202.19	473.23
201.67	472.91
202.19	473.17
202.70	472.07
202.26	471.67
201.80	472.68
201.10	472.80
202.00	473.36
202.13	472.54
201.30	473.50
201.84	474.06
201.42	472.91
201.74	472.46
202.55	473.48
202.67	472.26
202.09	471.66
203.34	472.26
202.44	472.17
202.18	472.96
202.72	473.22
201.37	472.98
201.52	472.80
203.71	473.56
201.87	472.72
202.43	473.15
202.71	473.83
201.88	472.73
202.24	472.97
201.73	472.30
202.97	472.76
203.32	472.73
203.06	472.06
203.81	472.34
204.26	472.45
203.14	471.83
203.23	472.94
203.24	472.54
203.22	472.30
203.76	471.62
204.11	472.60
204.35	473.82
204.22	473.17
203.67	472.50
205.02	472.43
205.09	471.78
204.68	471.10
206.86	471.73
208.38	472.09
209.46	471.76
209.85	471.21
210.56	470.84
211.21	470.95
212.02	471.06
212.74	471.57
213.25	471.58
213.59	471.63
214.44	471.50
214.49	471.63
214.37	471.36
214.46	470.73
214.28	470.36
214.65	469.91
215.28	469.66
215.00	469.70
215.12	469.54
214.84	469.50
214.71	469.37
215.45	468.81
215.11	468.66
215.15	468.77
214.96	468.32
214.96	467.69
214.96	467.61
215.00	467.72
214.82	467.49
