Object Tracking Data File Thu, Nov 20, 2025 4:48 PM
X (pixels)  	Y (pixels)  
1131.22	289.49
1127.55	288.85
1130.62	289.63
1128.19	284.76
1129.33	281.47
1130.79	282.28
1131.07	277.96
1134.24	278.68
1137.36	276.47
1140.80	277.05
1139.94	274.25
1140.99	275.54
1142.99	277.01
1137.25	274.73
1139.77	277.46
1140.70	281.04
1133.88	281.37
1137.56	286.35
1132.39	285.94
1134.19	290.14
1136.96	292.65
1127.44	290.46
1129.16	293.88
1128.53	291.86
1126.98	286.84
1128.55	287.01
1131.21	280.96
1129.78	280.95
1134.48	282.91
1130.96	288.97
1131.08	294.48
1130.96	298.65
1131.98	301.49
1131.92	304.89
1132.71	302.38
1135.08	303.07
1135.97	310.74
1139.37	313.82
1139.01	315.37
1135.61	311.80
1137.23	308.27
1137.58	307.20
1133.39	306.69
1129.94	312.66
1130.79	306.42
1130.16	307.92
1131.07	310.97
1136.45	308.00
1134.87	304.36
1135.27	298.96
1138.96	299.23
1139.94	298.46
1142.22	303.81
1144.00	304.55
1147.67	304.79
1148.29	304.70
1150.18	308.61
1148.61	307.90
1149.16	305.92
1156.38	304.39
1155.29	307.19
1152.14	308.23
1157.28	306.65
1163.78	311.55
1167.88	315.37
1170.85	314.37
1171.80	315.24
1175.38	315.15
1173.74	314.36
1174.84	311.88
1175.13	312.86
1173.88	316.30
1172.12	316.21
1169.96	318.64
1166.19	322.98
1174.55	324.34
1175.28	326.36
1178.90	328.52
1173.96	325.93
1174.53	321.20
1174.67	318.02
1178.47	317.02
1181.07	315.02
1183.67	319.12
1186.16	321.82
1182.22	318.67
1188.37	314.78
1188.59	307.44
1192.63	310.52
1189.23	309.95
1193.26	308.45
1199.76	310.40
1199.32	308.90
1201.78	301.91
1198.30	302.44
1201.21	307.49
1202.19	302.81
1202.73	306.84
1206.48	303.99
1204.42	309.39
1202.10	316.09
1204.06	311.19
1204.10	315.47
1202.10	313.03
1202.01	307.63
1203.05	309.84
1202.67	302.23
1202.73	298.36
1196.27	294.15
1193.18	295.21
1196.02	286.60
1199.42	282.23
1199.36	284.60
1199.81	285.36
1199.76	288.10
1203.00	284.59
1201.65	285.90
1200.52	287.59
1198.52	286.19
1198.39	290.72
