Object Tracking Data File Thu, Nov 20, 2025 3:56 PM
X  	Y  
661.10	182.88
656.96	191.32
656.91	189.14
651.77	188.70
643.41	185.40
644.08	181.49
650.21	182.51
647.40	186.28
642.41	184.66
635.45	179.78
632.28	187.13
627.18	185.55
635.23	185.15
637.57	186.89
637.87	187.77
635.97	191.37
636.96	185.35
640.90	192.03
635.17	195.04
635.21	191.16
631.39	187.80
629.30	185.71
626.91	182.42
626.26	179.74
626.42	180.97
618.45	181.56
622.24	176.26
619.52	179.01
614.15	176.80
616.46	177.49
617.88	179.56
621.75	175.70
620.22	176.91
619.80	176.58
619.96	175.34
616.80	171.40
615.42	178.36
618.82	176.71
617.43	184.38
615.78	187.20
613.10	183.20
616.20	185.61
611.15	189.58
608.51	188.52
609.58	190.33
606.96	192.53
607.59	186.41
607.02	184.59
608.03	183.28
600.75	120.71
604.77	169.17
606.81	180.43
607.59	181.16
601.08	180.23
603.66	182.60
606.26	179.70
606.53	183.03
603.18	181.66
596.70	184.02
598.46	177.68
601.85	181.57
599.93	183.57
601.68	180.71
601.67	186.24
597.91	192.54
592.47	193.68
584.98	195.91
578.57	194.10
574.99	190.64
576.24	193.31
567.10	198.09
562.94	200.46
565.40	199.66
567.30	204.01
562.49	205.74
561.95	207.20
562.20	211.28
556.44	215.80
552.01	214.40
543.94	214.18
539.80	215.82
540.74	212.58
540.93	214.63
533.96	214.64
547.71	159.15
528.57	205.19
538.79	212.84
534.44	217.86
532.86	219.93
525.65	228.56
527.43	227.28
532.04	227.68
534.72	221.49
531.70	218.52
534.10	215.85
534.72	217.10
528.75	214.04
522.77	210.61
518.00	203.93
512.52	196.71
504.78	196.92
505.67	196.29
503.29	204.76
506.65	203.37
516.33	154.29
501.07	197.19
494.82	207.31
499.32	205.36
500.59	205.71
494.35	200.46
490.31	205.20
488.54	215.81
491.28	216.94
497.16	213.61
492.29	214.57
492.20	217.36
491.95	219.02
488.37	223.59
489.24	227.71
484.52	225.68
