Object Tracking Data File Thu, Nov 20, 2025 4:51 PM
X  	Y  
541.64	165.03
544.40	164.09
536.38	161.14
538.93	156.94
538.59	150.83
539.69	146.29
536.47	147.55
541.55	152.34
542.87	148.27
545.70	150.60
540.45	153.23
540.33	152.86
540.23	152.62
531.55	153.42
534.38	149.43
544.24	143.54
545.17	144.40
544.64	138.80
541.94	132.38
543.83	133.04
551.55	130.01
548.64	125.26
548.15	125.39
550.94	123.56
547.87	125.17
547.41	122.10
551.16	123.84
546.45	120.74
544.07	122.80
544.42	121.95
547.23	116.62
548.54	112.71
546.89	111.37
547.92	121.26
546.75	117.01
551.97	116.89
551.85	120.13
554.37	115.22
552.67	114.66
547.35	118.09
549.07	112.23
549.98	108.59
554.52	110.78
556.61	113.78
554.93	109.47
554.09	109.42
549.56	113.32
540.70	111.97
536.31	115.67
534.88	121.38
530.81	125.55
532.37	122.18
533.33	121.35
530.52	122.44
536.89	121.90
534.39	116.08
530.04	113.53
530.05	116.67
529.07	116.95
533.66	117.06
538.04	113.76
543.75	112.96
542.70	117.71
544.77	122.23
550.86	123.19
552.80	119.83
550.80	121.83
548.68	120.68
549.11	119.22
547.99	120.92
552.11	121.62
549.23	123.27
549.84	117.59
555.20	115.40
550.67	112.71
553.05	115.58
555.25	118.33
558.98	118.43
565.05	115.17
562.14	114.39
569.01	111.23
569.33	109.78
564.25	109.19
570.56	108.22
573.59	109.44
573.73	109.28
578.45	108.02
575.00	100.49
576.11	98.56
577.98	92.13
578.27	94.48
580.53	93.11
577.45	85.91
571.13	87.90
574.19	84.18
575.11	89.48
574.16	91.35
578.26	92.67
577.61	92.37
580.05	87.99
579.89	92.25
584.34	96.64
584.89	93.51
581.35	90.84
587.53	89.06
584.54	92.79
586.49	98.56
587.18	96.93
585.81	89.06
593.20	93.28
590.27	93.64
600.35	94.99
602.36	103.92
601.97	97.89
602.91	92.09
602.49	93.28
602.10	88.81
598.58	92.21
605.36	94.09
604.21	97.69
