Object Tracking Data File Thu, Nov 20, 2025 4:38 PM
X  	Y  
663.68	605.90
663.71	608.35
665.05	607.67
661.31	607.72
663.27	610.69
662.07	613.70
662.27	614.29
662.70	617.07
659.94	617.26
660.65	615.56
661.98	616.89
661.73	617.99
664.29	616.76
664.32	614.37
664.54	610.14
663.39	609.78
663.93	610.60
666.28	610.19
663.23	611.93
661.04	613.71
657.54	616.80
658.13	620.03
654.41	622.28
653.47	624.15
653.60	625.04
652.12	625.14
650.14	624.03
651.37	623.33
649.89	625.63
647.96	624.42
645.04	623.68
640.41	624.84
638.12	624.51
635.06	624.41
632.78	625.65
631.90	625.85
631.31	626.13
629.05	625.71
632.77	623.75
629.32	621.16
625.20	618.01
618.89	617.62
614.64	616.08
616.60	613.11
615.89	611.13
618.72	611.90
621.37	610.71
621.03	610.96
621.03	612.36
619.57	613.46
617.20	615.06
609.88	617.47
610.76	617.42
609.51	616.94
608.07	616.40
605.18	615.50
603.94	614.89
603.48	615.48
601.94	617.11
601.13	615.94
599.02	615.63
599.90	618.67
598.78	619.96
597.52	620.69
594.61	621.12
593.04	618.70
588.05	614.02
585.78	613.42
589.28	610.35
588.73	610.33
589.10	609.17
585.68	611.06
581.70	613.93
581.01	615.32
578.23	614.94
576.24	615.57
574.35	617.98
570.05	616.60
571.05	619.48
569.58	619.99
568.22	623.63
568.04	626.08
567.73	628.05
566.96	628.83
563.14	631.55
556.03	629.58
554.10	629.76
551.50	629.98
550.65	627.52
555.18	624.57
557.64	622.57
557.28	618.83
554.75	617.12
548.18	615.52
541.79	617.75
543.53	621.10
540.65	622.16
535.59	621.08
529.99	622.00
524.39	621.88
519.39	622.60
516.94	621.74
517.42	623.11
515.68	622.00
516.12	617.94
515.71	613.58
516.35	609.29
515.58	610.30
516.46	609.87
514.26	606.46
513.69	606.14
508.73	607.31
508.06	605.53
509.53	605.66
510.48	608.00
510.55	608.50
509.89	609.20
511.60	609.14
510.83	608.92
509.34	610.40
