Object Tracking Data File Thu, Nov 20, 2025 4:04 PM
X  	Y  
1060.18	552.27
1057.43	549.35
1051.76	549.82
1051.26	546.49
1054.64	552.96
1049.01	550.28
1046.12	549.45
1049.00	547.71
1044.36	548.63
1044.03	552.39
1043.45	550.65
1046.17	555.74
1042.41	551.84
1038.71	555.43
1037.48	555.08
1039.14	559.84
1031.54	560.40
1031.84	567.46
1027.38	567.06
1022.30	571.45
1019.86	573.40
1023.31	568.70
1019.62	575.40
1016.24	571.79
1015.86	570.44
1014.70	569.15
1012.46	566.07
1009.15	562.52
1008.56	566.22
1013.84	568.29
1019.36	570.62
1010.46	568.87
1000.58	568.51
998.17	567.13
996.12	569.89
996.34	574.49
993.21	572.81
989.42	579.80
988.50	578.19
979.49	579.51
983.06	583.03
975.73	579.51
979.36	580.70
980.75	583.40
980.53	582.34
976.59	577.79
975.10	579.24
973.80	581.69
972.70	583.84
977.17	585.90
980.40	583.13
980.80	581.79
979.53	582.86
981.27	585.01
982.86	590.39
980.63	595.35
980.25	597.52
984.21	598.04
984.80	598.99
979.84	600.53
977.73	599.07
977.06	598.42
976.01	599.96
976.21	600.48
980.30	598.07
983.48	600.37
984.25	600.38
981.26	598.87
979.70	594.80
980.89	592.14
982.95	590.86
982.00	591.56
980.72	590.55
976.93	590.26
973.01	588.57
970.03	586.18
968.42	584.44
968.00	582.77
971.22	582.86
966.12	581.67
959.96	581.12
956.16	579.86
956.54	579.13
959.99	576.74
958.12	576.01
959.08	575.90
959.56	577.25
960.60	578.02
958.22	582.16
963.24	588.33
964.68	592.86
965.74	598.01
966.05	600.24
966.00	601.01
970.35	602.04
967.06	601.16
968.12	598.59
964.55	598.06
962.73	597.52
960.74	595.59
927.89	564.22
949.49	576.52
961.79	583.26
965.87	585.63
964.95	589.22
962.75	591.89
960.74	594.02
959.97	593.51
956.01	594.61
952.31	593.78
946.85	593.04
945.44	593.64
944.23	593.72
943.99	594.50
948.96	592.82
951.69	591.89
954.63	593.13
956.57	595.04
954.92	596.26
957.84	598.23
