Object Tracking Data File Thu, Nov 20, 2025 4:32 PM
X  	Y  
400.97	556.05
400.74	551.06
397.38	550.70
396.90	550.54
397.82	551.84
396.67	548.41
391.36	546.04
391.91	550.58
386.89	552.59
386.44	553.00
385.64	555.50
386.13	552.60
380.98	550.03
383.25	560.75
377.25	562.24
379.98	561.85
457.22	484.87
509.61	455.69
539.97	454.10
550.88	454.38
552.76	457.85
550.32	461.03
549.56	462.74
549.32	464.14
548.52	465.67
548.18	469.84
545.85	474.88
542.06	477.68
537.55	478.74
532.29	480.80
524.47	483.31
518.78	487.13
516.23	489.87
513.29	491.94
513.63	492.15
514.65	492.99
512.88	494.96
508.46	497.20
505.84	497.56
508.36	496.50
511.87	492.94
512.25	492.36
514.20	489.61
514.45	487.77
514.48	484.87
513.62	482.58
515.31	480.19
514.83	477.69
511.04	476.54
508.22	475.45
511.00	473.86
489.86	436.71
508.20	455.07
508.77	464.99
509.82	469.57
507.28	470.72
507.94	472.75
506.98	472.09
507.36	472.17
505.45	473.25
502.96	475.26
501.52	476.29
503.90	478.28
500.57	479.36
502.67	480.48
504.04	480.75
504.60	481.07
506.01	481.82
506.97	482.08
509.68	480.71
511.25	480.36
511.88	479.00
509.90	476.82
508.02	477.88
507.75	477.51
511.09	478.55
508.89	477.48
504.59	477.25
505.74	476.64
504.46	473.91
501.39	473.17
498.77	474.80
499.91	477.46
498.83	477.30
499.21	478.02
499.03	479.04
497.79	479.55
499.29	481.06
502.38	481.93
502.51	481.95
497.74	481.94
493.67	480.52
490.35	480.36
485.81	477.53
483.32	475.54
480.00	478.26
479.59	476.93
479.64	476.28
476.97	477.58
476.19	477.78
470.21	477.92
467.45	476.75
464.35	477.55
461.26	477.41
459.21	477.04
455.92	477.86
456.22	475.60
451.93	473.36
448.80	474.27
448.07	471.71
447.40	472.46
441.63	472.31
441.60	470.83
438.82	468.94
437.81	470.04
438.34	469.03
437.60	470.60
436.20	474.63
431.86	476.23
430.37	477.29
