Object Tracking Data File Thu, Nov 20, 2025 4:01 PM
X  	Y  
106.83	211.75
107.97	207.79
106.87	207.23
100.33	211.75
96.32	212.70
90.63	210.87
92.87	216.81
90.77	220.91
92.50	218.96
91.49	222.70
88.92	226.15
89.27	225.49
85.51	223.67
82.72	225.93
83.33	232.16
83.57	229.61
84.19	234.85
86.11	170.82
80.05	224.15
78.83	237.91
81.69	240.64
74.90	244.93
65.36	240.64
70.00	234.10
71.52	236.44
78.74	234.63
72.49	234.47
75.82	227.28
78.65	227.09
81.90	228.94
81.66	229.26
85.64	224.16
87.55	220.01
85.08	217.51
87.98	213.78
88.07	218.65
88.54	218.27
92.48	215.13
95.51	214.48
95.35	210.10
96.54	208.81
93.35	205.54
91.02	203.29
67.66	158.95
91.67	201.20
88.75	197.72
88.07	198.29
85.85	205.19
84.59	203.48
80.90	201.14
75.25	197.35
76.98	200.44
85.76	206.16
85.51	209.01
89.72	211.34
86.13	220.27
82.13	217.61
76.66	215.62
69.99	212.23
65.36	154.37
2.33	157.46
48.84	201.90
71.83	211.73
79.00	222.17
76.41	223.15
83.94	170.76
83.52	222.80
87.05	238.63
80.46	239.26
84.99	242.93
89.29	242.40
118.52	186.38
87.70	170.33
113.82	177.30
89.28	228.54
90.48	247.82
81.79	250.30
6.75	198.87
58.93	203.81
6.38	193.02
6.23	199.86
5.90	198.65
3.74	125.19
6.52	198.62
7.66	204.41
5.58	197.36
6.72	203.70
9.91	209.19
6.60	199.52
43.88	249.49
4.88	198.28
43.78	252.90
6.68	199.95
7.39	199.37
8.60	198.52
11.12	195.41
10.47	215.67
13.70	214.73
39.34	256.64
5.00	198.10
6.69	200.81
7.95	201.74
8.20	207.83
8.55	205.62
7.73	197.91
6.32	198.15
2.82	156.16
5.43	197.75
7.20	199.32
32.94	251.51
9.15	213.76
5.55	208.53
4.98	199.69
5.91	196.66
32.38	250.43
6.85	213.01
7.95	199.77
5.44	198.36
5.45	199.23
4.90	197.59
