Object Tracking Data File Thu, Nov 20, 2025 4:49 PM
X (pixels)  	Y (pixels)  
344.77	331.94
352.71	340.95
353.77	336.73
349.14	334.15
351.67	328.82
351.74	330.20
360.29	321.34
360.39	315.09
360.21	317.23
362.66	315.28
354.41	313.84
351.40	308.28
362.26	305.50
358.19	304.87
358.85	309.67
358.62	315.31
352.20	313.41
350.98	312.29
348.88	303.45
350.03	308.80
344.06	304.14
345.18	300.88
338.03	295.99
338.91	295.47
338.71	296.92
341.09	301.13
347.33	302.90
355.34	306.91
354.85	305.86
353.20	307.79
353.52	304.30
348.76	302.27
345.48	296.23
346.30	293.72
346.24	293.46
352.05	288.52
350.47	282.45
346.94	279.00
345.03	284.88
342.62	286.70
341.58	284.23
340.68	286.04
342.04	284.92
344.89	284.97
347.63	281.57
352.35	279.74
352.82	274.94
356.88	273.87
353.75	275.60
352.99	280.61
360.03	278.28
360.37	278.63
368.73	281.57
368.63	284.14
370.10	282.08
370.73	278.93
370.18	278.32
369.09	277.25
363.48	268.40
368.84	269.35
373.35	274.15
371.73	266.15
371.01	267.25
372.23	270.45
372.40	267.25
369.27	266.28
365.95	268.83
363.56	262.77
364.08	264.47
366.79	266.30
364.82	273.63
365.20	275.13
363.02	278.47
363.91	277.30
364.79	276.03
362.03	283.23
365.80	286.95
371.63	289.36
369.68	289.13
373.27	294.08
370.94	295.23
365.29	297.11
361.02	293.32
356.95	292.28
359.50	295.20
358.53	294.18
361.34	289.29
357.69	292.70
356.87	296.41
354.49	298.25
354.49	294.25
353.15	299.64
348.36	300.21
346.91	300.91
350.72	303.50
354.89	306.92
353.92	302.36
353.71	302.96
353.20	301.87
351.84	304.33
351.30	304.59
348.89	304.57
349.25	307.43
348.66	311.27
357.05	308.44
356.15	317.21
360.17	319.87
358.32	321.73
362.87	318.65
366.34	322.87
368.63	326.28
369.68	323.24
371.80	319.94
369.15	320.30
369.26	319.74
373.19	320.94
373.50	322.63
374.56	323.31
375.10	327.95
374.88	329.02
