Object Tracking Data File Thu, Nov 20, 2025 4:05 PM
X  	Y  
460.82	461.53
459.13	465.23
462.45	461.54
457.81	466.58
457.93	465.40
458.88	462.59
457.70	462.86
451.02	467.97
449.09	475.09
447.19	479.11
445.85	481.06
447.70	489.78
449.78	491.21
454.52	486.79
456.23	484.17
451.65	488.63
454.09	483.64
452.48	487.60
448.70	488.17
449.88	490.95
445.64	489.30
441.27	493.06
443.84	488.47
440.78	487.81
439.15	489.27
436.54	489.35
439.75	485.75
439.30	484.93
437.91	485.63
438.27	486.13
435.00	483.34
429.85	478.74
426.26	475.11
424.22	469.51
422.06	468.76
422.24	468.86
423.50	468.03
425.10	468.30
425.63	469.14
426.39	470.88
427.08	472.52
427.46	473.78
428.69	475.00
429.41	474.98
428.11	474.49
429.21	474.03
426.86	474.93
424.28	476.59
419.67	477.34
420.06	477.65
418.98	478.92
395.81	442.64
406.52	462.12
411.89	470.03
416.19	476.13
415.40	480.96
414.79	484.25
414.75	484.92
415.86	485.80
416.65	485.46
417.11	484.27
417.30	483.73
417.05	485.80
417.34	487.12
418.96	487.68
420.53	488.48
421.04	489.66
421.08	490.50
419.47	488.76
415.73	489.25
412.27	491.98
406.18	492.15
401.49	492.00
400.76	491.68
399.28	491.74
399.57	492.24
398.08	492.89
398.91	492.66
400.84	493.68
402.45	496.12
402.47	497.03
402.79	498.44
404.60	497.68
406.12	497.55
404.52	497.15
402.21	497.25
403.29	494.83
404.05	493.48
405.65	493.25
407.50	493.12
410.07	494.02
410.73	495.98
409.26	498.79
406.81	502.25
403.00	504.56
400.78	508.31
401.81	511.26
403.23	513.38
402.34	512.79
401.34	511.17
398.39	511.93
395.27	511.65
392.16	514.42
389.44	515.66
392.11	516.12
392.17	516.08
388.95	516.50
384.75	516.38
384.58	515.07
385.68	513.99
387.06	512.88
384.69	513.10
382.38	512.98
378.63	512.99
374.91	513.88
370.19	513.83
368.16	512.93
365.99	511.76
363.99	512.70
364.79	515.02
