Object Tracking Data File Thu, Nov 20, 2025 4:52 PM
X  	Y  
770.03	505.87
768.48	501.55
767.55	496.35
764.15	498.07
761.46	498.43
764.03	495.54
763.14	490.97
753.51	494.15
758.55	489.67
766.70	485.16
764.33	485.69
759.71	486.45
763.97	494.13
784.91	460.07
781.10	449.33
782.43	446.42
756.91	465.70
753.85	472.12
764.64	478.92
758.62	472.82
785.66	439.11
762.12	462.20
790.45	447.05
768.80	466.98
798.62	445.15
781.17	468.41
772.44	476.63
777.56	474.59
778.79	472.02
779.05	471.33
775.94	472.17
776.16	476.74
778.63	473.69
800.45	441.72
779.20	459.51
779.29	470.44
779.42	472.86
773.65	477.19
767.75	484.03
769.02	489.60
771.36	488.99
795.89	456.20
797.59	457.24
796.52	459.25
783.19	478.49
785.55	490.54
807.01	465.04
780.79	479.48
769.33	487.20
773.49	482.19
775.50	480.02
777.74	481.00
780.20	481.79
777.14	475.38
777.63	473.20
771.91	474.93
775.02	477.01
798.51	448.15
781.08	469.76
780.31	479.17
778.28	477.02
777.12	480.25
777.81	483.56
777.10	488.84
804.29	458.97
778.50	474.36
773.25	481.68
769.42	480.89
791.53	450.94
792.42	453.02
772.03	472.15
772.73	481.48
771.95	476.28
776.84	478.75
781.86	475.76
773.26	474.49
776.72	480.28
774.11	481.81
769.60	487.15
771.30	481.71
767.78	481.22
789.38	453.17
769.61	469.06
792.15	443.48
781.33	465.00
779.10	477.47
780.21	472.62
802.18	444.82
780.98	466.32
776.86	479.01
772.42	487.45
774.94	494.69
774.46	495.99
773.69	500.68
776.75	501.11
777.76	496.86
784.27	500.95
784.97	497.85
781.79	496.04
783.99	497.74
785.23	501.80
787.35	494.51
788.90	493.63
786.66	489.80
791.26	483.47
812.20	457.12
787.75	474.22
782.31	478.22
786.46	482.63
784.44	485.58
782.56	483.90
777.78	483.97
775.29	483.45
773.45	480.89
770.04	489.92
768.14	493.07
769.05	491.25
765.32	500.61
767.76	498.79
773.06	499.02
