X	Y
881.80	337.46
878.00	335.19
875.10	333.17
879.14	330.58
879.78	326.03
880.89	322.78
881.14	322.22
881.81	326.10
882.92	332.42
887.01	332.76
885.90	334.58
885.67	336.15
884.25	337.22
883.38	338.36
883.32	336.74
881.57	337.85
881.34	336.64
881.71	332.59
886.13	331.94
888.34	331.65
890.75	331.18
890.99	335.29
893.27	335.44
897.16	334.82
902.87	334.42
903.57	333.45
899.94	332.94
899.56	334.12
902.56	334.03
901.38	332.52
901.21	334.54
904.47	334.02
902.44	332.33
899.48	331.84
893.43	330.56
890.49	330.75
890.49	330.75
886.51	328.02
883.49	325.81
885.97	327.06
884.51	324.85
881.48	324.07
877.04	324.10
878.44	323.48
874.96	325.12
873.15	323.95
873.19	320.21
877.02	318.16
880.02	322.88
882.97	327.26
883.10	330.86
885.72	329.95
881.26	330.82
877.27	330.00
877.01	326.25
879.56	323.32
879.42	319.16
879.67	315.01
881.61	311.38
881.68	308.41
882.48	307.22
882.86	307.84
883.50	311.38
888.09	314.47
889.29	316.88
889.39	317.70
890.65	320.43
892.58	318.48
894.88	315.67
895.94	314.86
896.35	319.06
898.21	319.25
897.71	321.47
897.84	325.41
897.47	325.78
897.14	326.69
897.64	329.58
897.94	330.82
896.79	329.72
894.55	327.76
890.76	327.44
889.11	326.00
883.54	323.00
881.97	317.79
877.20	313.86
881.05	316.52
883.15	314.27
887.66	313.17
888.84	313.83
891.40	312.02
888.97	309.25
889.87	305.93
890.26	302.99
892.92	298.98
890.07	301.54
887.83	306.31
883.22	308.39
881.68	307.39
877.81	306.82
875.66	306.08
875.66	306.08
875.76	309.51
876.65	314.55
878.46	315.71
883.43	316.54
885.16	318.31
887.43	315.83
890.74	316.14
890.40	314.91
891.60	315.42
889.31	316.12
889.59	317.11
885.44	314.93
886.87	315.92
891.17	312.21
893.42	306.43
890.89	303.15
892.22	299.47
895.82	297.51
899.14	299.69
