X	Y
746.93	386.36
746.93	386.36
746.93	386.36
743.07	402.23
737.13	405.25
739.12	403.89
734.21	404.07
733.32	400.97
731.70	400.70
728.07	397.93
727.35	399.54
725.21	401.95
721.82	400.19
722.44	397.56
726.37	396.12
727.14	395.59
725.35	398.12
726.09	396.19
727.18	396.82
730.19	395.63
732.82	395.76
732.56	393.34
737.80	390.40
741.56	393.16
745.06	390.71
749.71	389.27
752.44	388.43
754.70	386.95
753.06	384.79
752.18	381.51
756.49	378.92
755.84	376.46
755.39	373.01
757.16	373.53
756.02	373.93
752.76	374.94
754.69	379.26
758.46	379.99
762.14	376.53
760.68	370.95
764.13	365.84
764.52	364.47
762.02	363.04
762.07	365.73
762.60	367.65
763.13	368.73
761.89	369.70
761.18	369.97
764.79	367.68
766.78	369.01
770.74	371.00
773.05	376.45
772.02	377.80
772.73	377.05
774.74	377.96
774.02	373.66
774.02	373.66
761.12	358.47
760.28	357.07
758.56	355.00
757.05	357.73
758.07	355.90
760.05	356.40
763.59	359.23
764.54	357.11
769.72	352.82
771.21	349.75
775.47	349.04
779.31	346.33
783.47	345.04
782.49	341.09
783.35	340.11
779.88	339.58
784.67	342.89
783.82	343.53
784.68	346.34
789.17	348.48
788.08	350.25
786.80	351.36
786.71	355.07
787.31	355.02
787.35	355.29
789.91	354.13
789.03	351.08
789.18	349.19
790.36	352.36
790.36	352.36
804.44	351.19
802.05	355.28
798.20	359.25
792.92	360.35
791.76	355.66
792.20	351.14
796.30	347.29
794.70	342.24
793.06	342.35
795.08	345.55
792.41	345.82
791.28	344.11
791.93	341.67
790.86	338.32
790.08	339.85
789.89	340.93
791.01	340.39
795.16	339.18
796.47	340.38
800.64	338.90
801.85	333.57
803.78	331.85
803.92	327.36
805.16	326.54
807.22	324.53
804.70	325.02
806.90	326.18
805.82	328.77
800.91	328.28
802.16	326.32
803.28	324.23
802.34	325.72
805.67	327.73
