X	Y
347.37	614.36
346.15	612.38
344.89	610.53
348.17	610.54
351.79	608.77
350.72	613.25
351.99	613.02
352.86	613.00
351.99	612.07
352.75	611.54
355.36	610.28
357.97	609.01
361.01	606.10
361.85	604.13
366.05	603.53
362.88	604.63
358.49	608.37
357.67	610.05
358.64	610.90
358.64	610.90
361.72	619.10
362.68	622.89
363.30	624.79
364.43	628.12
367.16	628.55
364.11	627.30
364.59	630.73
365.87	634.41
365.82	635.67
366.35	637.38
362.93	639.89
362.19	638.76
366.41	637.29
366.25	636.58
366.74	639.29
366.63	638.40
362.05	636.00
357.02	633.83
359.56	631.47
361.67	631.39
367.89	629.44
372.61	631.53
373.03	635.42
375.03	637.79
375.94	641.15
379.40	641.92
382.02	644.58
382.78	644.48
382.43	642.06
380.24	638.40
381.47	636.34
377.33	635.11
376.98	631.29
378.95	633.01
383.52	634.34
383.52	634.34
383.52	634.34
409.56	621.96
410.49	626.17
415.10	627.97
415.10	627.97
409.53	616.96
408.73	620.52
405.90	616.89
405.99	616.55
400.52	620.94
401.42	624.93
399.72	625.94
400.07	628.09
400.07	628.09
400.07	628.09
414.71	619.11
413.31	622.07
412.23	622.84
414.50	630.87
415.50	635.45
415.09	636.40
415.86	637.91
417.53	638.34
416.04	637.09
415.98	640.05
416.72	639.18
421.45	638.78
422.84	637.18
419.74	635.44
418.69	634.35
417.85	640.31
417.35	640.81
419.06	640.96
421.00	639.13
420.10	638.52
422.68	636.75
421.75	635.69
427.82	635.75
425.73	641.55
425.55	644.99
425.49	652.98
422.29	655.65
423.72	657.22
424.85	654.54
424.85	654.54
425.94	649.45
428.33	649.40
431.06	651.49
433.37	653.01
432.40	655.65
432.68	655.85
434.88	659.34
436.27	660.88
438.09	665.88
439.72	671.20
443.10	669.62
444.01	666.41
444.01	666.41
447.86	664.21
449.11	664.80
449.62	664.58
450.31	661.02
450.43	657.56
454.51	653.91
