X	Y
915.66	274.14
917.04	278.53
918.21	279.50
913.00	281.06
915.75	282.13
918.28	284.72
916.86	290.40
912.73	295.10
910.95	296.47
906.25	294.01
906.25	294.01
905.08	280.44
905.36	281.00
911.33	285.42
907.33	284.23
905.34	285.75
906.44	283.21
909.66	283.68
909.69	282.43
913.56	279.18
917.46	275.05
918.86	273.84
913.89	269.18
906.18	269.07
902.95	270.21
897.96	270.65
898.12	272.80
897.15	274.51
900.58	276.90
902.10	278.27
907.49	281.62
911.66	283.59
914.10	286.94
916.41	287.97
917.70	289.26
917.32	291.07
916.26	293.93
913.72	292.11
914.51	296.85
914.96	298.77
919.01	301.05
922.60	302.08
922.24	297.92
919.07	296.52
916.09	297.84
913.55	295.84
915.88	290.28
918.64	290.29
920.33	288.00
924.07	285.81
921.99	283.46
922.11	282.28
920.79	277.18
919.43	275.09
922.95	274.42
924.94	271.46
925.78	273.21
923.93	275.52
925.00	278.28
926.19	279.40
924.94	281.39
922.72	280.85
923.62	285.59
921.08	290.03
919.95	291.40
920.19	292.88
917.46	295.83
912.88	298.02
913.88	298.66
914.93	297.63
912.57	299.06
908.81	301.94
908.43	300.56
906.72	298.01
907.25	299.24
912.03	298.85
913.06	295.75
915.89	295.37
913.19	296.33
914.40	296.28
913.32	296.05
916.78	292.89
922.33	291.35
924.52	288.55
925.21	286.59
921.83	286.76
918.96	289.69
915.01	288.60
918.42	286.84
919.36	284.77
917.98	282.39
919.22	284.68
917.90	291.31
919.98	292.58
925.89	293.12
929.28	292.06
932.73	285.80
932.73	285.80
932.73	285.80
913.20	273.31
910.75	269.58
911.08	269.92
912.61	271.40
916.73	274.52
924.44	273.26
925.15	271.33
927.74	271.31
930.82	270.48
932.81	270.95
931.49	272.23
931.49	272.23
919.82	274.31
923.37	269.95
925.45	265.22
921.75	261.51
917.36	264.40
915.48	264.99
917.12	264.12
913.16	261.44
909.22	258.33
