X	Y
469.28	395.01
469.05	391.21
462.72	389.12
456.38	393.01
454.42	393.58
453.47	394.02
453.47	394.02
461.88	388.48
460.79	383.89
458.71	384.42
458.25	382.39
457.39	379.31
455.57	378.55
456.84	382.42
456.84	382.42
462.96	390.11
457.60	394.75
454.50	392.80
449.29	389.38
455.49	388.00
458.23	385.80
458.75	387.62
459.33	390.57
457.27	394.40
455.38	393.81
453.98	392.19
458.70	389.33
458.18	388.83
460.23	388.67
462.34	389.58
463.25	387.59
463.18	388.43
458.27	387.19
456.43	386.23
457.34	385.55
455.87	382.83
456.25	382.07
459.60	383.53
460.58	381.94
462.50	384.28
460.69	382.35
461.56	381.66
463.66	382.04
463.29	382.67
464.15	386.18
462.94	390.64
459.85	387.69
458.52	389.90
457.28	392.63
456.26	390.62
456.75	389.49
458.36	391.06
461.91	391.34
464.54	393.27
467.51	394.85
467.51	394.85
461.83	403.38
462.62	400.74
461.28	400.27
461.28	400.27
459.81	397.16
455.40	397.65
453.83	397.10
452.87	392.64
449.19	392.53
447.10	390.56
448.26	386.60
446.08	385.84
442.00	379.81
443.20	380.85
444.50	382.85
444.50	382.85
453.40	388.60
450.62	384.86
450.49	387.96
449.71	390.88
447.21	386.60
442.78	385.24
441.83	381.50
442.65	379.74
445.65	379.80
450.00	378.58
448.55	378.92
446.76	383.08
446.17	385.35
446.21	386.96
444.83	383.02
446.59	383.32
449.51	382.63
452.64	384.92
453.78	383.86
457.61	383.08
459.35	385.55
463.60	388.65
468.42	382.98
468.91	379.64
469.56	380.85
468.37	375.37
469.57	376.23
473.70	376.21
475.92	373.23
478.17	370.39
481.18	371.18
478.53	372.66
474.96	376.20
473.40	377.27
473.73	377.37
476.18	378.11
474.37	376.14
472.95	373.09
470.41	369.31
468.51	369.96
467.79	370.25
469.53	373.94
469.87	377.92
469.31	381.66
469.72	381.07
469.61	381.24
471.04	378.08
474.32	377.73
