X	Y
658.03	219.89
657.83	220.15
661.65	221.31
658.72	226.81
659.31	229.01
657.69	228.64
657.13	230.53
655.25	231.20
652.38	232.84
653.65	233.13
654.78	236.61
654.34	241.72
654.57	243.93
654.06	248.10
656.87	251.43
656.33	255.34
656.64	254.57
658.11	252.94
664.15	252.88
669.80	254.27
672.20	253.98
673.27	251.31
674.97	248.35
678.58	250.50
684.67	250.94
685.77	253.02
686.65	254.99
689.65	255.50
689.79	253.33
689.33	251.56
691.08	253.29
691.83	253.55
696.23	253.18
701.00	252.19
703.34	251.39
705.98	252.28
707.01	254.26
708.55	252.91
707.31	252.67
703.17	250.53
707.16	250.76
713.62	248.65
719.19	251.52
721.92	252.61
721.77	252.47
722.75	254.82
724.72	254.26
730.52	255.18
735.63	255.46
739.41	258.08
742.42	255.43
739.89	255.80
739.91	254.16
739.59	250.31
739.00	246.69
739.86	244.75
741.69	243.16
744.72	243.31
745.74	243.86
747.53	245.58
747.32	243.12
747.32	243.12
761.73	249.95
756.48	252.60
760.70	256.72
759.22	252.79
761.20	251.33
762.88	249.91
767.19	251.31
767.15	251.67
768.67	249.51
764.12	246.88
770.16	239.46
763.21	242.13
766.59	241.30
768.96	246.46
768.38	252.52
770.05	252.76
769.78	252.59
768.64	257.04
769.36	257.24
769.09	258.12
768.87	259.13
766.69	261.75
764.00	261.34
765.34	259.75
767.69	259.82
767.39	261.27
770.13	262.20
772.50	267.79
771.10	272.77
771.57	275.73
772.85	276.71
769.63	275.61
770.05	271.90
770.02	274.38
769.97	279.42
774.34	282.14
777.57	280.32
776.70	281.31
774.60	284.28
777.05	282.29
777.67	285.24
778.61	286.06
782.86	282.46
783.90	281.48
786.32	281.38
789.04	282.60
792.69	287.44
793.15	287.66
794.26	285.25
794.99	285.08
795.95	285.37
794.44	289.03
795.74	288.90
791.96	292.22
789.39	294.67
787.58	293.69
784.22	292.26
785.02	290.79
