X	Y
986.31	358.10
986.36	351.69
982.97	348.37
980.49	350.65
982.04	352.88
980.62	351.58
978.82	346.46
978.45	343.20
977.73	335.96
977.25	335.30
976.64	333.09
978.11	333.24
977.60	332.32
979.95	329.92
979.82	328.79
980.74	320.84
983.02	315.26
982.89	313.12
983.26	310.04
980.43	307.88
980.66	307.21
977.51	306.83
976.57	306.67
972.60	306.09
970.05	308.51
964.66	309.43
963.05	308.92
962.86	309.64
960.98	307.98
957.04	309.06
957.04	309.06
950.35	323.56
948.06	325.66
949.20	325.79
952.42	326.32
953.75	322.70
952.39	318.61
955.02	314.52
955.86	313.95
955.92	312.00
958.16	309.80
959.01	307.16
964.91	308.86
968.35	313.04
969.85	313.96
971.95	319.52
971.25	322.79
971.68	324.58
973.95	323.99
974.75	319.15
977.58	317.36
976.23	316.55
978.26	312.07
979.08	308.89
980.13	308.74
979.45	306.65
980.39	307.36
980.68	307.43
980.62	307.61
976.72	306.52
975.70	306.60
970.44	308.11
974.21	308.13
979.39	310.08
980.95	307.96
980.37	306.09
978.81	304.74
973.35	306.12
970.80	307.13
968.75	307.49
965.58	307.89
962.43	308.35
962.29	310.68
959.23	308.87
958.55	305.97
955.43	303.81
954.35	304.24
953.19	305.58
950.62	305.57
949.05	310.33
944.27	310.93
940.68	312.30
941.08	306.48
940.09	306.36
940.02	307.40
939.17	304.36
937.18	305.22
941.04	306.60
941.67	312.17
944.59	311.04
946.98	312.71
948.10	314.76
948.10	314.76
955.13	323.50
949.86	317.93
947.60	312.37
946.60	312.42
944.70	309.52
943.85	308.82
940.79	309.53
939.78	309.91
939.89	313.55
937.74	319.65
937.24	319.47
938.87	318.03
938.25	317.54
938.84	313.67
946.80	322.61
946.09	324.17
949.17	323.86
948.26	325.07
953.06	328.06
954.14	326.22
951.81	328.73
950.83	324.73
950.83	324.73
937.87	316.36
934.83	316.01
938.13	314.35
941.28	313.33
