X	Y
208.86	164.09
206.87	165.10
207.31	163.32
204.14	165.72
205.30	169.69
202.44	175.19
196.77	178.48
190.65	180.25
188.09	182.55
184.03	180.51
183.37	175.76
184.47	173.37
185.64	175.84
189.62	179.45
190.61	179.17
191.05	180.27
193.03	179.58
195.61	175.98
195.61	175.98
195.61	175.98
214.93	170.50
216.83	164.63
218.04	166.02
219.06	169.31
218.91	169.78
216.59	176.54
217.77	181.47
218.05	181.16
215.77	180.20
211.73	177.36
208.64	176.22
209.03	176.26
208.36	176.57
210.33	177.88
211.96	178.36
211.16	174.76
213.46	170.42
213.31	166.02
216.93	167.92
220.81	169.97
224.05	171.40
229.70	171.77
232.50	172.58
234.43	171.51
240.46	172.35
244.38	173.70
243.14	173.24
243.14	171.62
247.36	171.95
250.54	173.05
250.50	171.83
252.13	173.40
253.43	177.39
256.12	178.57
259.58	179.42
258.52	181.50
253.42	182.84
250.24	181.77
249.26	180.37
247.91	178.01
249.15	176.59
248.29	177.05
250.74	178.25
250.35	177.02
250.95	179.05
250.70	178.61
250.81	178.20
250.24	180.05
253.68	175.02
253.90	171.51
255.72	168.57
255.09	168.02
255.96	167.22
255.86	167.11
255.70	164.00
258.21	160.76
255.24	158.89
257.26	160.81
258.11	161.37
257.50	162.24
256.97	160.76
253.79	161.95
251.26	159.07
249.54	156.57
252.19	153.47
253.38	152.27
249.50	151.07
247.06	149.81
249.22	148.48
253.47	145.23
253.07	145.73
257.46	145.73
262.44	148.31
268.58	149.47
272.75	145.76
275.13	143.99
276.77	144.79
276.39	144.08
275.96	140.76
276.80	135.64
279.86	133.67
282.94	131.94
281.79	131.05
281.15	132.21
279.28	134.52
275.45	135.87
270.98	138.76
269.71	139.34
267.52	138.18
264.77	133.36
263.65	130.69
260.40	131.61
257.14	129.12
255.98	125.35
255.00	123.56
252.56	121.75
246.66	121.63
242.31	122.71
239.77	122.24
239.82	124.11
