X	Y
1135.57	343.82
1133.60	340.24
1138.84	337.97
1136.34	336.67
1134.28	332.91
1130.29	333.47
1127.65	335.29
1124.46	334.61
1118.60	337.36
1118.16	339.30
1118.13	337.29
1117.61	335.58
1113.68	331.20
1114.51	330.27
1115.58	328.68
1117.47	325.70
1117.54	324.25
1117.60	321.40
1119.27	319.17
1118.60	319.14
1118.12	314.49
1115.39	309.62
1112.55	308.05
1111.78	308.48
1111.76	313.19
1111.76	313.19
1118.44	320.88
1112.47	324.37
1111.73	324.95
1111.62	326.86
1116.82	327.27
1118.16	325.10
1115.33	328.42
1119.61	330.40
1124.93	330.13
1126.94	330.03
1130.02	327.79
1127.47	324.66
1127.85	327.96
1133.06	331.71
1131.16	330.23
1132.75	329.70
1128.73	327.52
1129.52	325.63
1131.11	325.20
1131.11	325.20
1142.65	325.02
1149.58	325.80
1148.91	327.30
1147.52	330.86
1151.44	332.48
1152.74	329.83
1148.29	328.37
1151.44	329.33
1151.93	327.13
1152.66	328.00
1152.35	322.82
1152.64	322.67
1147.03	322.71
1145.32	319.10
1144.34	317.62
1145.24	315.98
1147.22	312.26
1150.30	309.50
1150.30	309.50
1150.30	309.50
1150.30	309.50
1150.30	309.50
1150.30	309.50
1150.30	309.50
1161.10	308.73
1161.10	308.73
1163.63	313.61
1167.72	315.90
1169.76	318.96
1169.75	323.42
1170.10	325.75
1171.22	326.00
1171.22	326.00
1171.22	326.00
1167.98	312.84
1168.88	310.67
1169.24	312.80
1169.58	310.26
1171.76	308.48
1170.11	306.44
1169.58	307.34
1168.37	305.95
1167.51	301.23
1167.53	303.54
1169.67	304.05
1172.42	303.71
1173.95	301.74
1171.89	305.88
1170.46	306.01
1172.62	305.33
1171.59	306.03
1172.41	302.59
1173.09	300.34
1174.98	300.59
1170.68	299.88
1173.31	299.84
1172.20	297.64
1173.57	295.72
1176.24	293.30
1175.23	291.36
1176.35	291.09
1175.62	294.40
1173.48	300.75
1173.99	301.92
1175.09	299.46
1176.28	300.19
1179.61	298.43
1183.21	297.53
1185.09	299.23
1183.72	300.93
1185.40	300.98
1187.58	298.08
1190.61	293.76
1192.33	290.28
