Object Tracking Data File Thu, Nov 20, 2025 4:30 PM
X  	Y  
671.81	382.30
671.01	385.28
669.28	380.73
665.33	377.83
672.56	376.20
674.85	373.12
667.20	370.42
666.90	369.49
663.15	370.57
663.57	370.73
661.61	363.87
662.29	361.63
664.61	359.40
667.95	361.23
667.98	354.86
669.01	355.17
669.30	348.62
670.36	350.74
669.68	345.93
668.90	350.61
671.89	343.87
644.23	305.21
670.89	344.25
667.17	348.56
665.10	345.65
666.20	339.76
666.81	339.21
664.58	336.45
661.76	334.63
642.39	284.85
662.55	328.07
647.88	293.78
663.16	334.73
663.20	347.88
661.81	351.50
657.05	351.48
653.97	351.77
650.64	350.75
654.08	351.50
657.15	352.00
651.92	351.54
654.05	351.65
655.33	352.55
661.29	353.93
654.87	353.27
648.27	355.76
653.35	353.01
652.45	347.93
652.92	345.27
647.05	291.83
648.06	326.91
641.19	345.27
639.18	350.77
640.61	352.07
649.23	350.52
652.22	351.32
651.67	352.64
654.06	348.31
652.17	345.56
654.47	346.57
651.02	345.78
650.37	349.08
646.76	351.41
643.42	351.28
642.28	349.56
637.72	353.44
634.86	356.73
636.63	352.10
634.91	350.37
637.47	351.10
643.16	349.49
642.76	347.45
638.86	350.71
636.66	350.93
635.89	345.07
634.93	339.15
632.61	336.14
624.00	336.32
621.09	330.04
619.55	329.62
622.98	333.68
619.32	328.64
615.93	320.04
617.82	319.50
613.46	319.42
615.24	315.96
611.00	306.88
611.01	296.73
611.47	293.76
609.71	293.04
607.47	286.56
606.03	282.35
600.93	280.16
600.20	279.67
595.98	281.36
594.59	275.86
593.75	273.26
594.07	277.90
596.35	226.65
597.08	262.04
594.75	277.51
593.93	280.40
586.40	282.02
583.01	280.18
582.46	276.74
582.53	272.00
583.85	269.11
580.43	264.34
579.09	260.92
579.78	258.71
574.79	261.08
576.86	256.57
580.36	260.20
578.37	257.50
576.11	255.98
573.05	257.06
565.12	259.80
567.64	256.80
566.27	255.29
565.07	246.47
