X	Y
702.35	178.01
700.80	175.63
702.70	172.40
702.13	173.15
700.58	177.24
702.20	176.68
703.47	173.52
704.04	174.64
705.78	173.64
702.97	170.07
702.86	169.19
702.74	168.30
702.15	172.07
704.29	175.03
705.50	177.04
705.24	176.16
705.78	176.58
704.07	175.21
697.99	176.91
694.92	173.05
693.88	173.40
691.98	176.03
693.82	182.33
695.00	182.72
695.30	187.10
695.26	187.89
698.27	190.00
698.95	191.38
700.03	193.53
697.75	191.92
700.39	192.58
702.85	190.38
705.80	191.88
709.17	189.98
712.58	189.10
713.66	190.48
717.92	193.99
722.57	196.51
724.94	201.74
723.29	201.54
722.70	202.73
722.95	203.98
726.50	202.08
727.51	203.03
726.81	198.48
727.57	197.48
730.55	197.58
729.86	196.33
729.13	195.51
729.55	196.37
728.38	196.44
728.08	195.42
727.36	194.02
724.14	194.31
724.31	191.33
723.20	190.01
725.93	188.54
727.57	185.85
730.26	184.87
733.35	184.32
735.86	183.11
731.61	184.91
729.55	187.29
728.21	191.16
730.23	190.58
733.58	195.08
733.46	197.77
734.27	200.91
734.90	200.47
736.22	202.25
737.22	206.20
740.83	206.00
743.69	205.95
748.50	205.01
751.79	204.96
755.12	204.53
756.70	205.47
754.93	203.95
753.35	208.91
748.10	210.16
742.61	209.70
739.68	209.92
738.19	209.45
742.11	204.74
743.55	203.51
743.49	203.00
746.95	201.04
745.17	202.62
743.88	205.08
741.60	205.03
738.96	207.46
738.83	207.04
740.17	205.75
738.43	207.43
740.07	206.78
735.83	203.59
732.18	204.85
726.69	208.18
726.20	211.27
721.62	211.79
722.56	209.14
724.53	207.07
726.49	205.81
724.12	203.56
723.29	203.05
720.47	206.64
718.86	204.75
723.92	203.58
725.49	202.84
728.77	201.89
731.62	204.39
732.51	203.24
734.45	207.54
736.45	207.42
736.83	205.52
741.19	204.05
738.12	203.69
735.66	203.98
735.07	204.05
736.84	201.46
