X	Y
924.20	124.62
925.68	123.92
918.55	124.08
916.24	123.69
913.40	124.55
913.45	125.25
917.88	123.79
915.97	118.73
915.71	119.77
913.24	122.43
911.77	124.15
912.84	129.42
916.84	130.41
922.36	129.74
921.50	133.91
919.30	138.03
915.94	139.41
912.44	141.81
908.47	143.15
907.28	144.96
909.85	146.14
912.17	143.29
915.40	144.44
913.98	149.67
917.40	151.20
918.73	149.37
925.44	146.97
930.85	142.51
936.51	141.51
940.31	142.06
938.13	139.62
933.94	139.64
931.86	144.02
932.07	145.40
932.90	148.02
933.56	151.42
934.67	152.88
937.83	154.48
936.30	156.32
939.55	159.00
942.39	163.75
946.37	164.00
952.54	162.87
956.57	164.92
955.92	167.23
957.18	168.55
959.41	170.76
960.50	170.53
961.76	173.76
967.63	178.06
970.93	178.37
971.56	176.94
969.90	173.51
966.40	172.99
967.58	179.19
968.18	186.22
971.40	189.56
972.24	188.65
975.91	186.58
981.25	182.24
983.56	182.09
983.56	182.09
983.56	182.09
973.16	175.80
972.04	177.34
968.86	184.89
968.71	187.83
962.18	187.21
960.56	183.26
961.99	180.40
960.04	178.47
955.03	178.59
951.68	179.16
950.94	181.79
953.65	185.09
954.84	187.24
956.20	190.35
957.14	187.95
956.28	185.30
957.62	186.38
961.83	187.53
965.67	184.16
967.71	186.06
965.96	185.74
963.88	188.05
963.40	189.39
960.04	188.82
960.42	186.36
958.35	184.56
954.62	181.64
950.01	182.74
946.43	182.42
951.11	180.84
951.11	180.84
962.39	181.39
959.65	180.51
964.91	179.75
964.91	179.75
974.19	179.81
977.11	182.45
979.15	182.79
978.92	182.25
977.69	185.80
977.74	187.63
976.05	183.37
978.78	184.17
977.53	185.22
980.64	182.15
981.36	180.56
982.63	179.42
982.63	179.42
973.95	182.27
968.67	179.57
971.15	178.41
971.15	178.41
979.68	174.45
980.27	175.85
971.80	170.74
968.53	175.02
966.94	183.27
